Name,Release-date,Budget,Estimated budget (in Dollars),link
1927-1928
Wings (1927 film),"August 12, 1927 ( 1927-08-12 )",US$ 2 million,2000000.0,http://en.wikipedia.org/wiki/Wings_(1927_film)
The Racket (1928 film),"November 1, 1928 ( 1928-11-01 )",N/A,N/A,http://en.wikipedia.org/wiki/The_Racket_(1928_film)
Seventh Heaven (1927 film),"May 6, 1927 ( 1927-05-06 )",N/A,N/A,http://en.wikipedia.org/wiki/Seventh_Heaven_(1927_film)
The average for this period was $2000000.00

1928-1929
The Broadway Melody,"February 1, 1929 ( 1929-02-01T US )",N/A,N/A,http://en.wikipedia.org/wiki/The_Broadway_Melody
Alibi (1929 film),"April 20, 1929 ( 1929-04-20 )",N/A,N/A,http://en.wikipedia.org/wiki/Alibi_(1929_film)
The Hollywood Revue of 1929,"June 20, 1929 (Los Angeles)","$ 426,000",426000.0,http://en.wikipedia.org/wiki/The_Hollywood_Revue_of_1929
In Old Arizona,"Los Angeles : December 25, 1928 ( 1928-12-25 ) General release: January 20, 1929 ( 1929-01-20 )",N/A,N/A,http://en.wikipedia.org/wiki/In_Old_Arizona
The Patriot (1928 film),"August 17, 1928 ( 1928-08-17 )",$1 million,1000000.0,http://en.wikipedia.org/wiki/The_Patriot_(1928_film)
The average for this period was $713000.00

1929-1930
All Quiet on the Western Front (1930 film),"August 24, 1930 ( 1930-08-24 ) (US)",$1.2 million,1200000.0,http://en.wikipedia.org/wiki/All_Quiet_on_the_Western_Front_(1930_film)
The Big House (1930 film),"June 14, 1930",N/A,N/A,http://en.wikipedia.org/wiki/The_Big_House_(1930_film)
Disraeli (1929 film),"November 1, 1929 ( 1929-11-01 )",N/A,N/A,http://en.wikipedia.org/wiki/Disraeli_(1929_film)
The Divorcee,"April 30, 1930 ( 1930-04-30 ) (United States)",N/A,N/A,http://en.wikipedia.org/wiki/The_Divorcee
The Love Parade,"November 19, 1929 (US)",N/A,N/A,http://en.wikipedia.org/wiki/The_Love_Parade
The average for this period was $1200000.00

1930-1931
